"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Legs","20 Nov 2024, 10:28","20 Nov 2024, 11:42","Longest workout in months holy","Leg Extension (Machine)",,"",0,"normal",55,15,,,
"Legs","20 Nov 2024, 10:28","20 Nov 2024, 11:42","Longest workout in months holy","Leg Extension (Machine)",,"",1,"normal",65,15,,,
"Legs","20 Nov 2024, 10:28","20 Nov 2024, 11:42","Longest workout in months holy","Leg Extension (Machine)",,"",2,"normal",75,13,,,
"Legs","20 Nov 2024, 10:28","20 Nov 2024, 11:42","Longest workout in months holy","Leg Extension (Machine)",,"",3,"normal",75,13,,,
"Legs","20 Nov 2024, 10:28","20 Nov 2024, 11:42","Longest workout in months holy","Leg Press (Machine)",,"",0,"normal",225,12,,,
"Legs","20 Nov 2024, 10:28","20 Nov 2024, 11:42","Longest workout in months holy","Leg Press (Machine)",,"",1,"normal",225,13,,,
"Legs","20 Nov 2024, 10:28","20 Nov 2024, 11:42","Longest workout in months holy","Leg Press (Machine)",,"",2,"normal",225,12,,,
"Legs","20 Nov 2024, 10:28","20 Nov 2024, 11:42","Longest workout in months holy","Leg Press (Machine)",,"",3,"normal",225,13,,,
"Legs","20 Nov 2024, 10:28","20 Nov 2024, 11:42","Longest workout in months holy","Seated Leg Curl (Machine)",,"",0,"normal",47.5,12,,,
"Legs","20 Nov 2024, 10:28","20 Nov 2024, 11:42","Longest workout in months holy","Seated Leg Curl (Machine)",,"",1,"normal",47.5,12,,,
"Legs","20 Nov 2024, 10:28","20 Nov 2024, 11:42","Longest workout in months holy","Seated Leg Curl (Machine)",,"",2,"normal",47.5,12,,,
"Legs","20 Nov 2024, 10:28","20 Nov 2024, 11:42","Longest workout in months holy","Seated Leg Curl (Machine)",,"",3,"normal",47.5,10,,,
"Legs","20 Nov 2024, 10:28","20 Nov 2024, 11:42","Longest workout in months holy","Cable Crunch",0,"",0,"normal",33.75,12,,,
"Legs","20 Nov 2024, 10:28","20 Nov 2024, 11:42","Longest workout in months holy","Cable Crunch",0,"",1,"normal",33.75,12,,,
"Legs","20 Nov 2024, 10:28","20 Nov 2024, 11:42","Longest workout in months holy","Cable Crunch",0,"",2,"normal",33.75,10,,,
"Legs","20 Nov 2024, 10:28","20 Nov 2024, 11:42","Longest workout in months holy","Crunch (Machine)",0,"",0,"normal",10,12,,,
"Legs","20 Nov 2024, 10:28","20 Nov 2024, 11:42","Longest workout in months holy","Crunch (Machine)",0,"",1,"normal",10,12,,,
"Legs","20 Nov 2024, 10:28","20 Nov 2024, 11:42","Longest workout in months holy","Crunch (Machine)",0,"",2,"normal",10,12,,,
"Legs","20 Nov 2024, 10:28","20 Nov 2024, 11:42","Longest workout in months holy","Standing Calf Raise (Smith)",,"",0,"normal",60,16,,,
"Legs","20 Nov 2024, 10:28","20 Nov 2024, 11:42","Longest workout in months holy","Standing Calf Raise (Smith)",,"",1,"normal",60,16,,,
"Legs","20 Nov 2024, 10:28","20 Nov 2024, 11:42","Longest workout in months holy","Standing Calf Raise (Smith)",,"",2,"normal",60,20,,,
"Chests","18 Nov 2024, 10:28","18 Nov 2024, 11:39","","Butterfly (Pec Deck)",,"",0,"warmup",35,10,,,
"Chests","18 Nov 2024, 10:28","18 Nov 2024, 11:39","","Butterfly (Pec Deck)",,"",1,"normal",45,12,,,
"Chests","18 Nov 2024, 10:28","18 Nov 2024, 11:39","","Butterfly (Pec Deck)",,"",2,"normal",45,12,,,
"Chests","18 Nov 2024, 10:28","18 Nov 2024, 11:39","","Butterfly (Pec Deck)",,"",3,"normal",45,15,,,
"Chests","18 Nov 2024, 10:28","18 Nov 2024, 11:39","","Incline Bench Press (Dumbbell)",,"",0,"normal",44,9,,,
"Chests","18 Nov 2024, 10:28","18 Nov 2024, 11:39","","Incline Bench Press (Dumbbell)",,"",1,"normal",44,11,,,
"Chests","18 Nov 2024, 10:28","18 Nov 2024, 11:39","","Incline Bench Press (Dumbbell)",,"",2,"normal",44,9,,,
"Chests","18 Nov 2024, 10:28","18 Nov 2024, 11:39","","Incline Bench Press (Dumbbell)",,"",3,"normal",44,9,,,
